Id;SerialNumber;JobNr;Model;Description;Customer;FinalUser;Country;ManufactureDate;InstallationDate;MaterialType;ProductionRate;TotalPower;TotalWater;Certification
0;130;P20-043;A-PLUS-HC;A-105-HC-FF-V;Linpac Poland;Linpac Poland;;2021-01;2021-01;PE-PP;450;200;;
1;145;P22-069;A-PLUS-HC;A-105-HC-SF-V;LINPAC PACKAGING LTD UK;LINPAC PACKAGING LTD UK;;2023-01;2023-01;PE-PP;450;200;;
2;14;P19-099;A-35-AC;A-35-AC;PT AMG;PT AMG;;2019-01;2019-01;PE-PP;35;68;;
3;28;P19-094;A-35-AC;A-35-AC;Alfaplas;Alfaplas;;2019-01;2019-01;PE-PP;35;68;;
4;62;P19-073;A-35-AC;A-35-AC;BKC;BKC;;2020-01;2020-01;PE-PP;35;68;;
5;67;P20-001;A-35-AC;A-35-AC;COLLY MARTIN;COLLY MARTIN;;2020-01;2020-01;PE-PP;35;68;;
6;76;P20-002;A-35-AC;A-35-AC;Polipack;Polipack;;2020-01;2020-01;PE-PP;35;68;;
7;77;P19-105;A-35-AC;A-35-AC;Baesweiler folien GMBH;Baesweiler folien GMBH;;2020-01;2020-01;PE-PP;35;68;;
8;78;P20-006;A-35-AC;A-35-AC;Plastigaur;Plastigaur;;2020-01;2020-01;PE-PP;35;68;;
9;79;P20-004;A-35-AC;A-35-AC;Plastigaur;Plastigaur;;2020-01;2020-01;PE-PP;35;68;;
10;104;P20-033;A-35-AC;A-35-AC;BKC;BKC;;2020-01;2020-01;PE-PP;35;68;;
11;352; P24-031;A-35-AC;A-35-AC-TB-B&R-3N-400V-50Hz;RAJOO;RAJOO;;2024-01;2024-01;PE-PP;35;68;;
12;146;P21-024;A-35-AC;A-35-AC-TB-CE-400-3N;REIFENHAUSER PRIVATE LTD - MULTIBAX;REIFENHAUSER PRIVATE LTD - MULTIBAX;;2021-01;2021-01;PE-PP;35;68;;
13;147;P21-025;A-35-AC;A-35-AC-TB-CE-400-3N;Plasmac;Plasmac;;2021-01;2021-01;PE-PP;35;68;;
14;148;P21-027;A-35-AC;A-35-AC-TB-CE-400-3N;Plasmac;Plasmac;;2021-01;2021-01;PE-PP;35;68;;
15;13;P19-010;A-XS-AC;A-40-AC-RF;Ribeyron;Ribeyron;;2019-01;2019-01;PE-PP;45;20;;
16;36;P19-028;A-XS-AC;A-45-AC;Bandera / Sakos;Bandera / Sakos;;2019-01;2019-01;PE-PP;45;20;;
17;73;P20-034;A-XS-AC;A-45-AC-RF-TB-MSC;Samco;Samco;;2020-01;2020-01;PE-PP;45;20;;
18;5;P19-006;A-XS-AC;A-45-AC-RF;OP Nilsson;OP Nilsson;;2019-01;2019-01;PE-PP;45;20;;
19;6;P19-029;A-XS-AC;A-45-AC-RF-MSC;Termoplast;Termoplast;;2019-01;2019-01;PE-PP;45;20;;
20;1;P19-012;A-XS-AC;A-45-AC-RF-HF-MSC;Packages Lanka;Packages Lanka;;2019-01;2019-01;PE-PP;45;20;;
21;41;P19-092;A-XS-AC;A-45-AC-RF-TB;Liton;Liton;;2019-01;2019-01;PE-PP;45;20;;
22;18;P19-020;A-XS-AC;A-45-AC-RF-TB-MSC; Kaszmir; Kaszmir;;2019-01;2019-01;PE-PP;45;20;;
23;31;P19-070;A-XS-AC;A-45-AC-Supatrim;Ribeyron;Ribeyron;;2019-01;2019-01;PE-PP;45;20;;
24;81;P20-013;A-XS-AC;A-45-AC-TB;Polyfilm Nigeria;Polyfilm Nigeria;;2020-01;2020-01;PE-PP;45;20;;
25;97;P20-028;A-XS-AC;A-45-AC-TB-HF-MSC;GLOBE AGENCIES / MDV ;GLOBE AGENCIES / MDV ;;2020-01;2020-01;PE-PP;45;20;;
26;109;P20-030;A-XS-AC;A-45-AC-TB-HF-SR;Lordsmint;Lordsmint;;2020-01;2020-01;PE-PP;45;20;;
27;86;P20-024;A-XS-AC;A-45-AC-TB-RF;ANKATEKNIK PLASTIK / MAYA;ANKATEKNIK PLASTIK / MAYA;;2020-01;2020-01;PE-PP;45;20;;
28;103;P20-024;A-XS-AC;A-45-AC-TB-RF;ANKATEKNIK PLASTIK / MAYA;ANKATEKNIK PLASTIK / MAYA;;2020-01;2020-01;PE-PP;45;20;;
29;180;P21-050;A-XS-AC;A-45-AC-TB-RF-HF-MCF-400-50-SIDEPANEL;Karawia;Karawia;;2021-01;2021-01;PE-PP;45;20;;
30;83;P20-018;A-XS-AC;A-45-AC-TB-RF-MSC;Atlantic Packaging;Atlantic Packaging;;2020-01;2020-01;PE-PP;45;20;;
31;119;P21-002;A-XS-AC;A-45-AC-TB-S-CE-4003N-NOSR;Rhone Alpes;Rhone Alpes;;2021-01;2021-01;PE-PP;45;20;;
32;29;P19-070;A-XS-AC;A-45-AC-TB;Ribeyron;Ribeyron;;2019-01;2019-01;PE-PP;45;20;;
33;30;P19-070;A-XS-AC;A-45-AC-TB;Ribeyron;Ribeyron;;2019-01;2019-01;PE-PP;45;20;;
34;38;P19-048;A-XS-AC;A-45-AC-TB-Handfeed;Radiant/Jaykal/Quantum;Radiant/Jaykal/Quantum;;2019-01;2019-01;PE-PP;45;20;;
35;315;P23-038;A-45-HC;A-45-HC-FF-MSC-1-CE-400/50-3N;SILCART;SILCART;;2024-01;2024-01;PE-PP;45;20;;
36;298;P23-027;A-45-HC;A-45-HC-FF-RF-MSC-1-CE-400-50-NOAB;BASELL POLIOLEFINE ITALIA SRL;BASELL POLIOLEFINE ITALIA SRL;ITALY;2023-01;2023-01;PE-PP;45;20;;
37;122;P20-035;A-45-HC;A-45-HCHF-RF,predisp.TB-MCF-B&R-CE-4003N;Tub-ex;Tub-ex;;2021-01;2021-01;PE-PP;45;20;;
38;164;P21-033;A-45-HC;A-45-HC-RF-TB-MCF-B&R-CE-480V-60Hz-3N;SY USA / Packaging Personified;SY USA / Packaging Personified;USA;2021-01;2021-01;PE-PP;45;20;;
39;161;P21-032;A-45-HC;A-45-HC-TB-B&R-CE-4803N;SY USA;SY USA;USA;2021-01;2021-01;PE-PP;45;20;;
40;179;P21-048;A-45-HC;A-45-HC-V-SILO-MCF-400-50-SIDEPANEL;AMPACET Brembate;AMPACET Brembate;USA;2022-01;2022-01;PE-PP;45;20;;
41;341; P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;;
42;342; P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;;
43;343; P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;;
44;344; P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;;
45;345; P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;;
46;346; P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;;
47;347; P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;;
48;348; P24-026;A-XS-AC;A-45-XS-AC-RF-AS-0-MSC-2-CE-480-60Hz;SYNCRO GROUP USA;SYNCRO GROUP USA;USA;2024-01;2024-01;PE-PP;45;20;;
49;223;P22-029;A-XS-AC;A-45-XS-AC-RF-HF-MSC-2-CE-4003N-NOSR;CEMAC / SANCELL;CEMAC / SANCELL;;2022-01;2022-01;PE-PP;45;20;;
50;236;P22-041;A-XS-AC;A-45-XS-AC-RF-HF-MSC-2-CE-4003N-NOSR;MIZSEPLAST;MIZSEPLAST;;2022-01;2022-01;PE-PP;45;20;;
51;243;P22-055;A-XS-AC;A-45-XS-AC-RF-HF-MSC-2-CE-4003N-NOSR;ACZ SAS / BEGOODPACK;ACZ SAS / BEGOODPACK;;2022-01;2022-01;PE-PP;45;20;;
52;141;P21-006;A-XS-AC;A-45-XS-AC-RF-TB-0-B&R-CE-4003N-NOSR;Plasmac;Plasmac;;2021-01;2021-01;PE-PP;45;20;;
53;144;P22-020;A-XS-AC;A-45-XS-AC-RF-TB-0-B&R-CE-4003N-NOSR;ANKATEKNIK PLASTIK / STOCK;ANKATEKNIK PLASTIK / STOCK;;2021-01;2021-01;PE-PP;45;20;;
54;182;P21-053;A-XS-AC;A-45-XS-AC-RF-TB-0-B&R-CE-4803N-NOSR;Syncro USA;Syncro USA;;2022-01;2022-01;PE-PP;45;20;;
55;140;P21-015;A-XS-AC;A-45-XS-AC-RF-TB-HF-0-B&R-CE-4003N-NOSR;ANKATEKNIK PLASTIK / TUNCMAN;ANKATEKNIK PLASTIK / TUNCMAN;;2021-01;2021-01;PE-PP;45;20;;
56;168;P21-045;A-XS-AC;A-45-XS-AC-RF-TB-HF-0-B&R-CE-4003N-NOSR;ANKATEKNIK PLASTIK / FITPACK;ANKATEKNIK PLASTIK / FITPACK;;2021-01;2021-01;PE-PP;45;20;;
57;183;P21-051/23-005;A-XS-AC;A-45-XS-AC-RF-TB-HF-MSC-2-B&R-CE-4003N-SR;Bandera;Bandera;;2022-01;2022-01;PE-PP;45;20;;
58;192;P22-001;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-B&R-CE-4003N-NOSR;Italpac;Italpac;;2022-01;2022-01;PE-PP;45;20;;
59;184;P22-032;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-B&R-CE-4003N-SR;UKE / Berry Brombrough;UKE / Berry Brombrough;;2022-01;2022-01;PE-PP;45;20;;
60;204;P21-052;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-B&R-CE-4003N-SR;CSI / MT PLASTICS;CSI / MT PLASTICS;;2022-01;2022-01;PE-PP;45;20;;
61;208;P21-057;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-B&R-CE-4403N-NOSR;ANKATEKNIK PLASTIK / VOIDTECH (Rep. Dominicana);ANKATEKNIK PLASTIK / VOIDTECH (Rep. Dominicana);;2022-01;2022-01;PE-PP;45;20;;
62;242;P22-035;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4003N-NOSR;OLIMP LTD;OLIMP LTD;;2022-01;2022-01;PE-PP;45;20;;
63;211;P22-016;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4003N-SR;Plasmac / K2022 / Anka / Kung Hsing;Plasmac / K2022 / Anka / Kung Hsing;;2022-01;2022-01;PE-PP;45;20;;
64;212;P22-023;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4003N-SR;Syncplas;Syncplas;;2022-01;2022-01;PE-PP;45;20;;
65;213;P22-023;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4003N-SR;Syncplas;Syncplas;;2022-01;2022-01;PE-PP;45;20;;
66;214;P22-023;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4003N-SR;Syncplas;Syncplas;;2022-01;2022-01;PE-PP;45;20;;
67;215;P22-023;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4003N-SR;Syncplas;Syncplas;;2022-01;2022-01;PE-PP;45;20;;
68;219;P22-028;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA / Revolution Stretch Solutions;Syncro USA / Revolution Stretch Solutions;USA;2022-01;2022-01;PE-PP;45;20;;
69;220;P22-028;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA / Revolution Stretch Solutions;Syncro USA / Revolution Stretch Solutions;USA;2022-01;2022-01;PE-PP;45;20;;
70;221;P22-028;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA / Revolution Stretch Solutions;Syncro USA / Revolution Stretch Solutions;USA;2022-01;2022-01;PE-PP;45;20;;
71;222;P22-028;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA / Revolution Stretch Solutions;Syncro USA / Revolution Stretch Solutions;USA;2022-01;2022-01;PE-PP;45;20;;
72;228;P22-033;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2022-01;2022-01;PE-PP;45;20;;
73;229;P22-033;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2022-01;2022-01;PE-PP;45;20;;
74;230;P22-033;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2022-01;2022-01;PE-PP;45;20;;
75;231;P22-033;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2022-01;2022-01;PE-PP;45;20;;
76;256;P22-066;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;;
77;257;P22-066;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;;
78;258;P22-066;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;;
79;259;P22-066;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;;
80;270;P23-001;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;;
81;271;P23-001;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;;
82;272;P23-001;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;;
83;273;P23-001;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;;
84;284;P23-002;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;;
85;285;P23-002;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;;
86;286;P23-002;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;;
87;287;P23-002;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;Syncro USA;Syncro USA;USA;2023-01;2023-01;PE-PP;45;20;;
88;302;P23-003;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;;
89;303;P23-003;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;;
90;304;P23-003;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;;
91;305;P23-003;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;;
92;306;P23-033;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;SYNCROPLANTECH NORTH AMERICA;SYNCROPLANTECH NORTH AMERICA;USA;2023-01;2023-01;PE-PP;45;20;;
93;309;P23-004;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;;
94;310;P23-004;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;;
95;311;P23-004;A-XS-AC;A-45-XS-AC-RF-TB-MSC-2-CE-4803N-NOSR;EXTRUSION AUTOMATION (EX SYNCRO USA);EXTRUSION AUTOMATION (EX SYNCRO USA);USA;2023-01;2023-01;PE-PP;45;20;;
96;316;P24-005;A-XS-AC;A-45-XS-AC-ST-0-0-2-CE-400/50Hz-NOAB;PLASTOTECNICA;PLASTOTECNICA;;2024-01;2024-01;PE-PP;45;20;;
